ID,Nome,Cognome,Genere,Nazionalità,Telefono,Mail,Data,Password
1,Codi,Coxall,F,NO,677907823,ccoxall0@gov.uk,2022-11-22,C0xi!2022
2,Madeline,Aubin,F,CN,835916051,maubin1@nhs.uk,1962-07-15,M@dy1962*
3,Jeff,Langsbury,M,PH,390225575,jlangsbury2@wisc.edu,2023-04-11,J3ffL#23
4,Auroora,Woodcock,F,GH,467325131,awoodcock3@mozilla.com,1910-05-18,Aur00ra$
5,Wandie,Artinstall,F,CN,360594346,wartinstall4@parallels.com,1916-04-21,W@ndie16
6,Melany,Whitemarsh,F,UA,731629346,mwhitemarsh5@japanpost.jp,1935-10-23,M3l@ny35
7,Sholom,Davidove,M,UZ,597716275,sdavidove6@issuu.com,1965-05-12,Sh0l0m&6
8,Fergus,Balcon,M,US,189181769,fbalcon7@marriott.com,1989-03-02,F3rgus%8
9,Cherry,Claypoole,F,VU,249544039,cclaypoole8@zdnet.com,2001-06-17,Ch3rry!1
10,Jan,Cheales,M,MA,407406179,jcheales9@friendfeed.com,1920-05-06,J@nCh320
